Change component parameters: Designator = "C12" ("C12"); Footprint = "FP-GRM033-0_03-IPC_C"; UniqueID = "\NVWSRVPE\GJODPEQX" ("\NVWSRVPE\GJODPEQX")
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.071inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "35V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "35V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "0.000571oz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.063inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "C42" ("C42"); Footprint = "FP-C3216-160-0_2-IPC_C"; UniqueID = "\NVWSRVPE\JQEQYFXM" ("\NVWSRVPE\JQEQYFXM")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "1206"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "3216"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "1206"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Construction"; Value = "Flat"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "3.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.071inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "35V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "35V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "0.000571oz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.063inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "C44" ("C44"); Footprint = "FP-0603-L_1_6_0_15-W_0_8-IPC_C"; UniqueID = "\NVWSRVPE\UMLZYPUO" ("\NVWSRVPE\UMLZYPUO")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "1uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Construction"; Value = "Flat"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Halogen Free"; Value = "Halogen Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.037inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.031inch"; VariantName = "[No Variations]"
Added Pin To Net: NetName=XIN_RP2040 Pin=C1R-1
Added Pin To Net: NetName=GND Pin=C1R-2
Added Pin To Net: NetName=NetC2R_1 Pin=C2R-1
Added Pin To Net: NetName=GND Pin=C2R-2
Added Pin To Net: NetName=3V3 Pin=C3R-1
Added Pin To Net: NetName=3V3 Pin=C4R-1
Added Pin To Net: NetName=GND Pin=C4R-2
Added Pin To Net: NetName=3V3 Pin=C5R-1
Added Pin To Net: NetName=GND Pin=C5R-2
Added Pin To Net: NetName=3V3 Pin=C6R-1
Added Pin To Net: NetName=GND Pin=C6R-2
Added Pin To Net: NetName=3V3 Pin=C7R-1
Added Pin To Net: NetName=GND Pin=C7R-2
Added Pin To Net: NetName=3V3 Pin=C8R-1
Added Pin To Net: NetName=GND Pin=C8R-2
Added Pin To Net: NetName=3V3 Pin=C9R-1
Added Pin To Net: NetName=GND Pin=C9R-2
Added Pin To Net: NetName=3V3 Pin=C10R-1
Added Pin To Net: NetName=GND Pin=C10R-2
Added Pin To Net: NetName=1v1_RP2040 Pin=C11R-1
Added Pin To Net: NetName=GND Pin=C11R-2
Added Pin To Net: NetName=1v1_RP2040 Pin=C12R-1
Added Pin To Net: NetName=GND Pin=C12R-2
Added Pin To Net: NetName=1v1_RP2040 Pin=C13R-1
Added Pin To Net: NetName=GND Pin=C13R-2
Added Pin To Net: NetName=NetC2R_1 Pin=R1R-2
Added Pin To Net: NetName=USB_P Pin=R2R-1
Added Pin To Net: NetName=USB_RP2040_P Pin=R2R-2
Added Pin To Net: NetName=USB_N Pin=R3R-1
Added Pin To Net: NetName=USB_RP2040_N Pin=R3R-2
Added Pin To Net: NetName=RUN_RP2040 Pin=R4R-2
Added Pin To Net: NetName=3V3 Pin=R5R-1
Added Pin To Net: NetName=QSPI_SS_RP2040 Pin=R5R-2
Added Pin To Net: NetName=NetR6R_1 Pin=R6R-1
Added Pin To Net: NetName=NetR7R_1 Pin=R7R-1
Added Pin To Net: NetName=NetR6R_1 Pin=SW1R-A2
Added Pin To Net: NetName=GND Pin=SW1R-B1
Added Pin To Net: NetName=GND Pin=SW1R-B2
Added Pin To Net: NetName=NetR7R_1 Pin=SW2R-A1
Added Pin To Net: NetName=GND Pin=SW2R-B1
Added Pin To Net: NetName=GND Pin=SW2R-B2
Added Pin To Net: NetName=3V3 Pin=U1R-1
Added Pin To Net: NetName=OTG/VAP Pin=U1R-2
Added Pin To Net: NetName=CHRG_OK Pin=U1R-3
Added Pin To Net: NetName=CMPOUT Pin=U1R-4
Added Pin To Net: NetName=AUDIOIN Pin=U1R-5
Added Pin To Net: NetName=PROCHOT Pin=U1R-6
Added Pin To Net: NetName=SENSE1 Pin=U1R-7
Added Pin To Net: NetName=SENSE2 Pin=U1R-8
Added Pin To Net: NetName=NetU1R_9 Pin=U1R-9
Added Pin To Net: NetName=3V3 Pin=U1R-10
Added Pin To Net: NetName=NetU1R_11 Pin=U1R-11
Added Pin To Net: NetName=NetU1R_12 Pin=U1R-12
Added Pin To Net: NetName=NetU1R_13 Pin=U1R-13
Added Pin To Net: NetName=NetU1R_14 Pin=U1R-14
Added Pin To Net: NetName=NetU1R_15 Pin=U1R-15
Added Pin To Net: NetName=LEDR_RP2CAN Pin=U1R-16
Added Pin To Net: NetName=LEDG_RP2CAN Pin=U1R-17
Added Pin To Net: NetName=LEDB_RP2CAN Pin=U1R-18
Added Pin To Net: NetName=GND Pin=U1R-19
Added Pin To Net: NetName=3V3 Pin=U1R-22
Added Pin To Net: NetName=1v1_RP2040 Pin=U1R-23
Added Pin To Net: NetName=RUN_RP2040 Pin=U1R-26
Added Pin To Net: NetName=nCS_RP2CAN Pin=U1R-28
Added Pin To Net: NetName=SCK_RP2CAN Pin=U1R-29
Added Pin To Net: NetName=MOSI_RP2CAN Pin=U1R-30
Added Pin To Net: NetName=MISO_RP2CAN Pin=U1R-31
Added Pin To Net: NetName=CANCLK_RP2CAN Pin=U1R-32
Added Pin To Net: NetName=3V3 Pin=U1R-33
Added Pin To Net: NetName=INT_RP2CAN Pin=U1R-34
Added Pin To Net: NetName=NetU1R_35 Pin=U1R-35
Added Pin To Net: NetName=NetU1R_36 Pin=U1R-36
Added Pin To Net: NetName=NetU1R_37 Pin=U1R-37
Added Pin To Net: NetName=BCLK Pin=U1R-38
Added Pin To Net: NetName=LRCLK Pin=U1R-39
Added Pin To Net: NetName=SDA Pin=U1R-40
Added Pin To Net: NetName=SCL Pin=U1R-41
Added Pin To Net: NetName=3V3 Pin=U1R-42
Added Pin To Net: NetName=3V3 Pin=U1R-43
Added Pin To Net: NetName=3V3 Pin=U1R-44
Added Pin To Net: NetName=1v1_RP2040 Pin=U1R-45
Added Pin To Net: NetName=USB_RP2040_N Pin=U1R-46
Added Pin To Net: NetName=USB_RP2040_P Pin=U1R-47
Added Pin To Net: NetName=3V3 Pin=U1R-48
Added Pin To Net: NetName=3V3 Pin=U1R-49
Added Pin To Net: NetName=1v1_RP2040 Pin=U1R-50
Added Pin To Net: NetName=GND Pin=U1R-57
Added Pin To Net: NetName=QSPI_SS_RP2040 Pin=U2R-1
Added Pin To Net: NetName=3V3 Pin=U2R-8
Added Pin To Net: NetName=XIN_RP2040 Pin=Y1R-1
Added Pin To Net: NetName=GND Pin=Y1R-2
Added Pin To Net: NetName=NetC2R_1 Pin=Y1R-3
Added Pin To Net: NetName=GND Pin=Y1R-4
Add Class: Class already exists: Designator
Added Member To Class: ClassName=U_RP2040_C Member=Component C1R 27pF Ceramic 50V
Added Member To Class: ClassName=U_RP2040_C Member=Component C2R 27pF Ceramic 50V
Added Member To Class: ClassName=U_RP2040_C Member=Component C3R 100nF Ceramic 6.3V
Added Member To Class: ClassName=U_RP2040_C Member=Component C4R 1uF Ceramic 16V
Added Member To Class: ClassName=U_RP2040_C Member=Component C5R 100nF Ceramic 6.3V
Added Member To Class: ClassName=U_RP2040_C Member=Component C6R 100nF Ceramic 6.3V
Added Member To Class: ClassName=U_RP2040_C Member=Component C7R 100nF Ceramic 6.3V
Added Member To Class: ClassName=U_RP2040_C Member=Component C8R 100nF Ceramic 6.3V
Added Member To Class: ClassName=U_RP2040_C Member=Component C9R 100nF Ceramic 6.3V
Added Member To Class: ClassName=U_RP2040_C Member=Component C10R 100nF Ceramic 6.3V
Added Member To Class: ClassName=U_RP2040_C Member=Component C11R 1uF Ceramic 16V
Added Member To Class: ClassName=U_RP2040_C Member=Component C12R 100nF Ceramic 6.3V
Added Member To Class: ClassName=U_RP2040_C Member=Component C13R 100nF Ceramic 6.3V
Added Member To Class: ClassName=U_RP2040_C Member=Component J1R TagConnect SWD
Added Member To Class: ClassName=U_RP2040_C Member=Component R1R 1k Ohm 1% 1/16W
Added Member To Class: ClassName=U_RP2040_C Member=Component R2R 27 Ohm 1% 1/16W
Added Member To Class: ClassName=U_RP2040_C Member=Component R3R 27 Ohm 1% 1/16W
Added Member To Class: ClassName=U_RP2040_C Member=Component R4R 10k Ohm 1% 1/16W
Added Member To Class: ClassName=U_RP2040_C Member=Component R5R 10k Ohm 1% 1/16W
Added Member To Class: ClassName=U_RP2040_C Member=Component R6R 1k Ohm 1% 1/16W
Added Member To Class: ClassName=U_RP2040_C Member=Component R7R 1k Ohm 1% 1/16W
Added Member To Class: ClassName=U_RP2040_C Member=Component SW1R 434123025826
Added Member To Class: ClassName=U_RP2040_C Member=Component SW2R 434123025826
Added Member To Class: ClassName=U_RP2040_C Member=Component U1R RP2040
Added Member To Class: ClassName=U_RP2040_C Member=Component U2R W25Q128JVSIQ
Added Member To Class: ClassName=U_RP2040_C Member=Component Y1R CRYSTAL 12.0000MHZ 18PF SMD
